"BT","BG_lvl1","BG_lvl2","BG_lvl3"
"BG-1",,,
"BT-04","BG-1",,
"BT-701","BG-1",,
"BT-757","BG-1",,
"BT-01","BG-1",,
"BT-03","BG-1",,
"BT-02","BG-1",,
"BT-05","BG-1",,
"BT-738","BG-1",,
"BT-702","BG-1",,
"BG-125",,,
"BT-1371","BG-125",,
"BT-125","BG-125",,
"BT-1251","BG-125",,
"BG-703",,,
"BT-13720","BG-703",,
"BT-500","BG-703",,
"BT-501","BG-703",,
"BT-16","BG-703",,
"BT-510","BG-703",,
"BT-513","BG-703",,
"BT-512","BG-703",,
"BT-507","BG-703",,
"BT-514","BG-703",,
"BT-502","BG-703",,
"BT-506","BG-703",,
"BT-503","BG-703",,
"BT-739","BG-703",,
"BT-505","BG-703",,
"BT-509","BG-703",,
"BT-633","BG-703",,
"BT-08","BG-703",,
"BT-770","BG-703",,
"BG-3","BG-703",,
"BT-508","BG-703","BG-3",
"BT-11","BG-703","BG-3",
"BT-740","BG-703","BG-3",
"BT-10","BG-703","BG-3",
"BT-610","BG-703","BG-3",
"BG-4","BG-703",,
"BT-165","BG-703","BG-4",
"BT-706","BG-703","BG-4",
"BT-746","BG-703","BG-4",
"BG-715","BG-703",,
"BT-799","BG-703","BG-715",
"BG-2",,,
"BT-137","BG-2",,
"BT-22","BG-2",,
"BT-23","BG-2",,
"BT-531","BG-2",,
"BT-21","BG-2",,
"BT-24","BG-2",,
"BT-27","BG-2",,
"BG-557","BG-2",,
"BT-557","BG-2","BG-557",
"BT-157","BG-2","BG-557",
"BG-261","BG-2",,
"BT-26","BG-2","BG-261",
"BT-262","BG-2","BG-261",
"BT-263","BG-2","BG-261",
"BT-25","BG-2",,
"BT-625","BG-2",,
"BT-53","BG-2",,
"BT-54","BG-2",,
"BT-94","BG-2",,
"BT-95","BG-2",,
"BG-708",,,
"BT-1372","BG-708",,
"BT-5101","BG-708",,
"BT-5131","BG-708",,
"BT-5121","BG-708",,
"BT-5071","BG-708",,
"BT-5141","BG-708",,
"BT-727","BG-708",,
"BT-728","BG-708",,
"BG-36",,,
"BT-1373","BG-36",,
"BT-536","BG-36",,
"BT-36","BG-36",,
"BT-537","BG-36",,
"BT-538","BG-36",,
"BT-781","BG-36",,
"BT-58","BG-36",,
"BT-57","BG-36",,
"BG-61",,,
"BT-1374","BG-61",,
"BT-60","BG-61",,
"BG-6",,,
"BT-09","BG-6",,
"BT-105","BG-6",,
"BT-88","BG-6",,
"BT-106","BG-6",,
"BT-1351","BG-6",,
"BT-136","BG-6",,
"BT-1252","BG-6",,
"BT-135","BG-6",,
"BT-31","BG-6",,
"BT-763","BG-6",,
"BT-33","BG-6",,
"BG-330","BG-6",,
"BT-330","BG-6","BG-330",
"BT-1375","BG-6","BG-330",
"BG-709","BG-6",,
"BT-1376","BG-6","BG-709",
"BT-50","BG-6","BG-709",
"BT-661","BG-6","BG-709",
"BT-51","BG-6","BG-709",
"BT-52","BG-6","BG-709",
"BT-120","BG-6","BG-709",
"BG-704",,,
"BT-1377","BG-704",,
"BG-44","BG-704",,
"BT-644","BG-704","BG-44",
"BT-44","BG-704","BG-44",
"BT-41","BG-704",,
"BT-45","BG-704",,
"BT-42","BG-704",,
"BT-46","BG-704",,
"BT-47","BG-704",,
"BG-701",,,
"BT-67","BG-701",,
"BG-702",,,
"BT-1378","BG-702",,
"BT-747","BG-702",,
"BT-748","BG-702",,
"BT-749","BG-702",,
"BT-750","BG-702",,
"BT-40","BG-702",,
"BG-72","BG-702",,
"BT-752","BG-702","BG-72",
"BT-7531","BG-702","BG-72",
"BT-7532","BG-702","BG-72",
"BG-705",,,
"BT-1379","BG-705",,
"BT-71","BG-705",,
"BT-79","BG-705",,
"BT-578","BG-705",,
"BT-78","BG-705",,
"BT-732","BG-705",,
"BG-711",,,
"BT-13717","BG-711",,
"BT-736","BG-711",,
"BT-761","BG-711",,
"BT-76","BG-711",,
"BT-70","BG-711",,
"BT-92","BG-711",,
"BT-77","BG-711",,
"BT-743","BG-711",,
"BT-93","BG-711",,
"BT-65","BG-711",,
"BT-64","BG-711",,
"BT-729","BG-711",,
"BG-707",,,
"BT-13710","BG-707",,
"BG-38","BG-707",,
"BT-539","BG-707","BG-38",
"BT-734","BG-707","BG-38",
"BT-540","BG-707","BG-38",
"BG-541","BG-707",,
"BT-541","BG-707","BG-38","BG-541"
"BT-5421","BG-707","BG-38","BG-541"
"BT-5422","BG-707","BG-38","BG-541"
"BT-5423","BG-707","BG-38","BG-541"
"BT-543","BG-707",,
"BT-733","BG-707",,
"BG-706",,,
"BT-13711","BG-706",,
"BT-765","BG-706",,
"BT-778","BG-706",,
"BT-113","BG-706",,
"BT-109","BG-706",,
"BT-111","BG-706",,
"BT-766","BG-706",,
"BT-119","BG-706",,
"BT-767","BG-706",,
"BT-123","BG-706",,
"BT-122","BG-706",,
"BG-100",,,
"BT-13712","BG-100",,
"BT-632","BG-100",,
"BT-724","BG-100",,
"BT-124","BG-100",,
"BT-127","BG-100",,
"BT-631","BG-100",,
"BT-130","BG-100",,
"BT-99","BG-100",,
"BG-101",,,
"BT-13718","BG-101",,
"BT-15","BG-101",,
"BT-708","BG-101",,
"BT-737","BG-101",,
"BT-14","BG-101",,
"BT-707","BG-101",,
"BT-615","BG-101",,
"BT-13","BG-101",,
"BG-102",,,
"BT-13719","BG-102",,
"BT-17","BG-102",,
"BT-19","BG-102",,
"BT-745","BG-102",,
"BT-18","BG-102",,
"BT-97","BG-102",,
"BT-764","BG-102",,
"BT-744","BG-102",,
"BT-63","BG-102",,
"BT-769","BG-102",,
"BT-800","BG-102",,
"BT-630","BG-102",,
"BT-1311","BG-102",,
"BT-131","BG-102",,
"BT-98","BG-102",,
"BT-751","BG-102",,
"BT-75","BG-102",,
"BT-651","BG-102",,
"BT-132","BG-102",,
"BT-133","BG-102",,
"BT-134","BG-102",,
"BT-771","BG-102",,
"BT-772","BG-102",,
"BG-7",,,
"BT-161","BG-7",,
"BT-118","BG-7",,
"BG-556","BG-7",,
"BT-556","BG-7","BG-556",
"BT-156","BG-7","BG-556",
"BG-137","BG-7",,
"BT-13713","BG-7","BG-137",
"BT-142","BG-7","BG-137",
"BT-144","BG-7","BG-137",
"BT-709","BG-7","BG-137",
"BT-660","BG-7","BG-137",
"BG-712","BG-7","BG-137",
"BT-759","BG-7","BG-137","BG-712"
"BT-760","BG-7","BG-137","BG-712"
"BT-710","BG-7","BG-137",
"BT-711","BG-7","BG-137",
"BG-320","BG-7",,
"BT-3201","BG-7","BG-320",
"BT-13714","BG-7","BG-320",
"BT-720","BG-7","BG-320",
"BT-779","BG-7","BG-320",
"BT-780","BG-7","BG-320",
"BT-782","BG-7","BG-320",
"BT-171","BG-7","BG-320",
"BT-162","BG-7","BG-320",
"BT-160","BG-7","BG-320",
"BT-163","BG-7","BG-320",
"BT-193","BG-7","BG-320",
"BT-191","BG-7","BG-320",
"BG-180","BG-7","BG-320",
"BT-773","BG-7","BG-320","BG-180"
"BT-730","BG-7","BG-320","BG-180"
"BT-553","BG-7","BG-320","BG-180"
"BT-731","BG-7","BG-320","BG-180"
"BT-555","BG-7","BG-320","BG-180"
"BT-554","BG-7","BG-320","BG-180"
"BG-310","BG-7",,
"BT-150","BG-7","BG-310",
"BT-3202","BG-7","BG-310",
"BT-721","BG-7","BG-310",
"BT-1451","BG-7","BG-310",
"BT-145","BG-7","BG-310",
"BT-768","BG-7","BG-310",
"BT-151","BG-7","BG-310",
"BG-611","BG-7","BG-310",
"BT-722","BG-7","BG-310","BG-611"
"BT-5011","BG-7","BG-310","BG-611"
"BG-713",,,
"BT-13721","BG-713",,
"BT-06","BG-713",,
"BT-777","BG-713",,
"BT-774","BG-713",,
"BT-775","BG-713",,
"BT-776","BG-713",,
"BT-715","BG-713",,
"BT-725","BG-713",,
"BT-716","BG-713",,
"BT-754","BG-713",,
"BT-755","BG-713",,
"BG-612",,,
"BT-13722","BG-612",,
"BT-712","BG-612",,
"BG-613","BG-612",,
"BT-635","BG-612","BG-613",
"BT-636","BG-612","BG-613",
"BG-710",,,
"BT-13715","BG-710",,
"BT-726","BG-710",,
"BT-115","BG-710",,
"BT-634","BG-710",,
"BT-756","BG-710",,
"BT-300","BG-710",,
"BG-8",,,
"BT-195","BG-8",,
"BT-197","BG-8",,
"BT-196","BG-8",,
"BT-198","BG-8",,
"BG-77",,,
"BT-1501","BG-77",,
"BT-202","BG-77",,
"BT-200","BG-77",,
"BT-201","BG-77",,
"BG-9",,,
"BT-13716","BG-9",,
"BT-758","BG-9",,
"BT-141","BG-9",,
"BT-718","BG-9",,
"BT-719","BG-9",,
"BT-140","BG-9",,
"BT-762","BG-9",,
"BG-714",,,
"BT-783","BG-714",,
"BT-784","BG-714",,
"BT-785","BG-714",,
"BT-786","BG-714",,
"BT-787","BG-714",,
"BT-788","BG-714",,
"BT-789","BG-714",,
"BT-790","BG-714",,
"BT-791","BG-714",,
"BT-792","BG-714",,
"BT-793","BG-714",,
"BT-794","BG-714",,
"BT-795","BG-714",,
"BT-796","BG-714",,
"BT-797","BG-714",,
"BT-798","BG-714",,
