Form type,Notice number,Related article,Directive,Notice type,Definition,Notice description
Planning,1,Art. 48(1) of Directive 2014/24/EU,Directive 2014/24/EU,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a prior information notice on a buyer profile — general directive
Planning,2,Art. 67(1) of Directive 2014/25/EU,Directive 2014/25/EU,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a periodic indicative notice on a buyer profile — sectoral directive
Planning,3,Art. 30(1) third subparagraph of Directive 2009/81/EC,Directive 2009/81/EC,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a prior information notice on a buyer profile — defence directive
Planning,4,Art. 48(1) of Directive 2014/24/EU,Directive 2014/24/EU,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Prior information notice used only for information — general directive
Planning,5,Art. 67(1) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Periodic indicative notice used only for information — sectoral directive
Planning,6,Art. 30(1) of Directive 2009/81/EC,Directive 2009/81/EC,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Prior information notice used only for information — defence directive
Planning,7,"Art. 27(2) of Directive 2014/24/EU, Art. 28(3) of Directive 2014/24/EU",Directive 2014/24/EU,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Prior information notice used to shorten time limits for receipt of tenders — general directive
Planning,8,Art. 45(2) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Periodic indicative notice used to shorten time limits for receipt of tenders — sectoral directive
Planning,9,Art. 33(3) of Directive 2009/81/EC,Directive 2009/81/EC,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Prior information notice used to shorten time limits for receipt of tenders — defence directive
Competition,10,Art. 48(2) of Directive 2014/24/EU,Directive 2014/24/EU,Prior information notice or a periodic indicative notice used as a call for competition – standard regime,"Announcement of intentions of planned procurements used as a call for competion.For restricted procedures and competitive procedures with negotiation, sub-central contracting authorities may use a prior information notice as a call for competition pursuant to Article 26(5), [...]. [Directive 2014/24/EU]","Prior information notice used as a call for competition — general directive, standard regime"
Competition,11,Art. 67(2) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used as a call for competition – standard regime,"Announcement of intentions of planned procurements used as a call for competion.For restricted procedures and competitive procedures with negotiation, sub-central contracting authorities may use a prior information notice as a call for competition pursuant to Article 26(5), [...]. [Directive 2014/24/EU]","Periodic indicative notice used as a call for competition — sectoral directive, standard regime"
Competition,12,Art. 75(1)(b) of Directive 2014/24/EU,Directive 2014/24/EU,Prior information notice or a periodic indicative notice used as a call for competition – light regime,Announcement of intentions of planned procurements used as a call for competion concerning contracts for social and other specific services,"Prior information notice used as a call for competition — general directive, light regime"
Competition,13,Art. 92(1)(b) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used as a call for competition – light regime,Announcement of intentions of planned procurements used as a call for competion concerning contracts for social and other specific services,"Periodic indicative notice used as a call for competition — sectoral directive, light regime"
Competition,14,Art. 31(3) of Directive 2014/23/EU,Directive 2014/23/EU,Prior information notice or a periodic indicative notice used as a call for competition – light/social regime,Announcement of intentions of planned procurements used as a call for competion concerning contracts for social and other specific services,"Prior information notice used as a call for competition — concessions directive, light/social regime"
Competition,15,"Art. 68 of Directive 2014/25/EU, Art. 92(1)(c) of Directive 2014/25/EU",Directive 2014/25/EU,Notice on the existence of a qualification system,"Announcement of a system of qualification of economic operators on the basis of exclusion and selection criteria. The announcement can be used as a call for competition.When a call for competition is made by means of a notice on the existence of a qualification system, specific contracts for the works, supplies or services covered by the qualification system shall be awarded by restricted procedures or negotiated procedures, in which all tenderers and participants are selected among the candidates already qualified in accordance with such a system",Notice on the existence of a qualification system — sectoral directive
Competition,16,Art. 49 of Directive 2014/24/EU,Directive 2014/24/EU,Contract or concession notice – standard regime,"Announcement of a call for competition concerning contracts or concessions.Contract notices shall be used as a means of calling for competition in respect of all procedures, without prejudice to the second subparagraph of Article 26(5) and Article 32. Contract notices shall contain the information set out in Annex V part C and shall be published in accordance with Article 51. [Directive 2014/24/EU]","Contract notice — general directive, standard regime"
Competition,17,Art. 69 of Directive 2014/25/EU,Directive 2014/25/EU,Contract or concession notice – standard regime,"Announcement of a call for competition concerning contracts or concessions.Contract notices shall be used as a means of calling for competition in respect of all procedures, without prejudice to the second subparagraph of Article 26(5) and Article 32. Contract notices shall contain the information set out in Annex V part C and shall be published in accordance with Article 51. [Directive 2014/24/EU]","Contract notice — sectoral directive, standard regime"
Competition,18,Art. 30(2) of Directive 2009/81/EC,Directive 2009/81/EC,Contract or concession notice – standard regime,"Announcement of a call for competition concerning contracts or concessions.Contract notices shall be used as a means of calling for competition in respect of all procedures, without prejudice to the second subparagraph of Article 26(5) and Article 32. Contract notices shall contain the information set out in Annex V part C and shall be published in accordance with Article 51. [Directive 2014/24/EU]","Contract notice — defence directive, standard regime"
Competition,19,Art. 31(1) of Directive 2014/23/EU,Directive 2014/23/EU,Contract or concession notice – standard regime,"Announcement of a call for competition concerning contracts or concessions.Contract notices shall be used as a means of calling for competition in respect of all procedures, without prejudice to the second subparagraph of Article 26(5) and Article 32. Contract notices shall contain the information set out in Annex V part C and shall be published in accordance with Article 51. [Directive 2014/24/EU]","Concession notice — concessions directive, standard regime"
Competition,20,Art. 75(1)(a) of Directive 2014/24/EU,Directive 2014/24/EU,Contract notice – light regime,Announcement of a call for competition concerning contracts for social and other specific services.,"Contract notice — general directive, light regime"
Competition,21,Art. 92(1)(a) of Directive 2014/25/EU,Directive 2014/25/EU,Contract notice – light regime,Announcement of a call for competition concerning contracts for social and other specific services.,"Contract notice — sectoral directive, light regime"
Competition,22,Art. 52(1) of Directive 2009/81/EC,Directive 2009/81/EC,Subcontracting notice,Announcement of a call for competition by successful tenderers which are not contracting authorities/entities concerning contracts for social and other specific services.,Subcontract notice — defence directive
Competition,23,Art. 79(1) of Directive 2014/24/EU,Directive 2014/24/EU,Design contest notice,"Announcement of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that intend to carry out a design contest shall make known their intention by means of a contest notice.Where they intend to award a subsequent service contract pursuant to Article 32(4), this shall be indicated in the contest notice. [Directive 2014/24/EU]","Design contest notice — general directive, design"
Competition,24,Art. 96(1) first subparagraph of Directive 2014/25/EU,Directive 2014/25/EU,Design contest notice,"Announcement of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that intend to carry out a design contest shall make known their intention by means of a contest notice.Where they intend to award a subsequent service contract pursuant to Article 32(4), this shall be indicated in the contest notice. [Directive 2014/24/EU]","Design contest notice — sectoral directive, design"
Direct award prenotification,25,Art. 3a of Directive 89/665/EEC,Directive 89/665/EEC,Voluntary ex-ante transparency notice,Announcement of the intention to award of a contract without prior publication of a contract notice in the Official Journal of the European Union.,Voluntary ex-ante transparency notice — general directive
Direct award prenotification,26,Art. 3a of Directive 92/13/EEC,Directive 92/13/EEC,Voluntary ex-ante transparency notice,Announcement of the intention to award of a contract without prior publication of a contract notice in the Official Journal of the European Union.,Voluntary ex-ante transparency notice — sectoral directive
Direct award prenotification,27,Art. 64 of Directive 2009/81/EC,Directive 2009/81/EC,Voluntary ex-ante transparency notice,Announcement of the intention to award of a contract without prior publication of a contract notice in the Official Journal of the European Union.,Voluntary ex-ante transparency notice — defence directive
Direct award prenotification,28,Art. 3a of Directives 89/665/EEC and 92/13/EEC,Directives 89/665/EEC and 92/13/EEC,Voluntary ex-ante transparency notice,Announcement of the intention to award of a contract without prior publication of a contract notice in the Official Journal of the European Union.,Voluntary ex-ante transparency notice — concession directive
Result,29,Art. 50 of Directive 2014/24/EU,Directive 2014/24/EU,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Contract award notice — general directive, standard regime"
Result,30,Art. 70 of Directive 2014/25/EU,Directive 2014/25/EU,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Contract award notice — sectoral directive, standard regime"
Result,31,Art. 30(3) of Directive 2009/81/EC,Directive 2009/81/EC,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Contract award notice — defence directive, standard regime"
Result,32,Art. 32(2) (reference to Annex VII) of Directive 2014/23/EU,Directive 2014/23/EU,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Concession award notice — concession directive, standard regime"
Result,33,Art. 75(2) of Directive 2014/24/EU,Directive 2014/24/EU,Contract or concession award notice – light regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Contract award notice — general directive, light regime"
Result,34,Art. 92(2) of Directive 2014/25/EU,Directive 2014/25/EU,Contract or concession award notice – light regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Contract award notice — sectoral directive, light regime"
Result,35,Art. 32(2) (reference to Annex VIII) of Directive 2014/23/EU,Directive 2014/23/EU,Contract or concession award notice – light/social regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Concession award notice — concessions directive, light/social regime"
Result,36,Art. 79(2) of Directive 2014/24/EU,Directive 2014/24/EU,Design contest result notice,"Announcement of the results of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that have held a design contest shall send a notice of the results of the contest in accordance with Article 51 and shall be able to prove the date of dispatch.","Design contest result notice — general directive, design"
Result,37,Art. 96(1) second subparagraph of Directive 2014/25/EU,Directive 2014/25/EU,Design contest result notice,"Announcement of the results of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that have held a design contest shall send a notice of the results of the contest in accordance with Article 51 and shall be able to prove the date of dispatch.","Design contest result notice — sectoral directive, design"
Contract modification,38,Art. 72(1) of Directive 2014/24/EU,Directive 2014/24/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — general directive
Contract modification,39,Art. 89(1) of Directive 2014/25/EU,Directive 2014/25/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — sectoral directive
Contract modification,40,Art. 43(1) of Directive 2014/23/EU,Directive 2014/23/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — concessions directive
Change,any other standard form and the Notice and Change sections from Table 2,changing any of the notices listed above,,Change notice,Information about changes to the notice. This information may differ per section of the previous notice.,Change notice
